"","Coefficient","Std_Error","z_value","p_value","CI_Lower","CI_Upper"
"RESIDUE..NON.FILTERABLE..TSS.",0.450453490914824,0.0017003509464883,264.917952288107,0,0.447120864298628,0.45378611753102
"TOTAL.KJELDAHL.NITROGEN..IN.WATER.MG.L.",1.01276027003913,0.00106277248271754,952.941750476523,0,1.01067727424924,1.01484326582902
"TOTAL.NITROGEN..AS.N.",0.159139923258381,7.05839183661186e-05,2254.62013079131,0,0.159001581320496,0.159278265196266
"STRONTIUM",-3.42290601124361e-05,2.04849073713136e-06,-16.7094043883105,1.11948092507325e-62,-3.82440281798775e-05,-3.02140920449947e-05
"CHLORINE.DIOXIDE",5.23288589889833e-06,6.03831931965512e-07,8.66612979851024,4.47057269167224e-18,4.04939705953068e-06,6.41637473826597e-06
"O.CHLOROTOLUENE",-0.00347556382127334,0.000500791356700746,-6.9401433846036,3.91702170602119e-12,-0.00445709684417576,-0.00249403079837093
"P.CHLOROTOLUENE",-0.00836633206326194,0.00129273795029619,-6.47179272593109,9.68469154719622e-11,-0.0109000518872906,-0.00583261223923328
"CIS.1.3.DICHLOROPROPENE",-0.365553999029815,0.0652248750846875,-5.60451819271684,2.0883505623754e-08,-0.493392405091926,-0.237715592967703
"TRANS.1.3.DICHLOROPROPENE",-0.364852911498651,0.0651233313478164,-5.60249151797859,2.11292379269268e-08,-0.49249229549364,-0.237213527503662
"PENTACHLOROPHENOL",0.137719815244129,0.0279650066949384,4.92471955206277,8.44814280516233e-07,0.0829094092946285,0.19253022119363
"X1.1.2.2.TETRACHLOROETHANE",-1.50823892198826,0.310057417753976,-4.8643858705713,1.14812732835199e-06,-2.11594029392555,-0.900537550050981
"PROMETON",-0.106886832791039,0.0235452436606201,-4.5396358743065,5.63514577960209e-06,-0.153034662373074,-0.0607390032090034
"X1.1.DICHLOROPROPENE",0.00895167174192464,0.00206758269378576,4.32953505019625,1.49424487573666e-05,0.00489928412704624,0.013004059356803
"LITHIUM..TOTAL",-0.000317575536465202,7.4915508835185e-05,-4.23911605758257,2.24401630805061e-05,-0.000464407235665656,-0.000170743837264747
"ENDOTHALL",0.000802995498329464,0.00019247508740796,4.17194510283545,3.02010409205492e-05,0.000425751259088663,0.00118023973757026
"RADIUM.228",0.0199022877247245,0.00478205461914805,4.16186959576598,3.15652599773876e-05,0.0105296328990909,0.0292749425503581
"ETHYLBENZENE",-0.0751147420150748,0.0181876123951491,-4.12999465697371,3.6277166525198e-05,-0.110761807274341,-0.0394676767558082
"X1.1.DICHLOROETHANE",-0.107819289003637,0.0272331849463284,-3.9591141916059,7.52282636097164e-05,-0.161195350682759,-0.054443227324515
"X1.1.DICHLOROETHYLENE",-0.00330826811449323,0.000887093756699513,-3.72933310544518,0.000191987216290047,-0.00504693992853461,-0.00156959630045185
"ETHYLENE.DIBROMIDE",-0.61484129088375,0.16648315970637,-3.69311401806741,0.000221524639617871,-0.941142287940664,-0.288540293826836
"X3.HYDROXYCARBOFURAN",0.00687926140045789,0.001871350340222,3.67609487790608,0.000236831472677051,0.003211482131166,0.0105470406697498
"ADONA",-0.00665478426500528,0.00185122910255808,-3.59479237648626,0.000324650375700216,-0.0102831266331515,-0.00302644189685904
"CARBON.TETRACHLORIDE",-0.00721047897354274,0.00204246982598602,-3.53027441669148,0.000415128852578675,-0.0112136462719851,-0.00320731167510035
"X1.2.4.TRIMETHYLBENZENE",-0.507278768255018,0.146426065651994,-3.46440209259362,0.00053141154260524,-0.794268583330823,-0.220288953179213
"NITRATE.NITRITE",-3.87808758307294e-09,1.13887564567549e-09,-3.40518966912562,0.000661181143339366,-6.11024283146669e-09,-1.64593233467919e-09
"O.XYLENE",-0.0508728415319465,0.0151128551709948,-3.36619658935021,0.000762123723698376,-0.0804934933706662,-0.0212521896932267
"O.DICHLOROBENZENE",-0.0807146008725397,0.0255179716218063,-3.16304924500995,0.00156125919467305,-0.130728906209795,-0.0307002955352842
"BENZO.A.PYRENE",0.74483090745937,0.23600748815574,3.15596303015547,0.00159969135164235,0.282264730592356,1.20739708432638
"ISOPROPYL.ETHER",0.024261398656951,0.00777354517498246,3.12102111852791,0.00180225109028455,0.00902553008179027,0.0394972672321117
"N.NITROSODI.N.PROPYLAMINE",-0.0112449798319238,0.00369262888666689,-3.04525046438501,0.0023248661162334,-0.0184823994580632,-0.0040075602057845
"TERTIARY.BUTYL.ALCOHOL..TBA.",-0.00420225543588702,0.00138161636269755,-3.0415501360177,0.00235363365168639,-0.00691017374722546,-0.00149433712454859
"N.BUTYLBENZENE",-0.537049655265375,0.183858718108364,-2.92099096953806,0.00348919941014282,-0.89740612100147,-0.17669318952928
"DIQUAT",-0.0069746349303085,0.00239272555654517,-2.91493310264095,0.0035576479305222,-0.0116642908460256,-0.00228497901459141
"SEC.BUTYLBENZENE",-0.525609383595145,0.191218183299692,-2.74874164436218,0.0059824519790797,-0.90039013605172,-0.15082863113857
"TERT.BUTYLBENZENE",-0.525373044610345,0.191378710998196,-2.74520108255562,0.00604738309328522,-0.900468425574508,-0.150277663646182
"X1.2.3.TRICHLOROBENZENE",-0.475991323701972,0.175059867565111,-2.71902024331723,0.00654756008287975,-0.819102359267941,-0.132880288136002
"X1.3.DICHLOROPROPANE",-0.20558341719269,0.0766847974184128,-2.68088883473176,0.00734269036751968,-0.355882858294529,-0.0552839760908504
"X1.1.1.2.TETRACHLOROETHANE",-0.506736306512416,0.19114612497626,-2.65104148240175,0.00802439851510206,-0.881375827250278,-0.132096785774554
"X1.3.5.TRIMETHYLBENZENE",-0.498900673702883,0.188600736978672,-2.64527425340497,0.00816247308965423,-0.868551325638792,-0.129250021766975
"BROMOBENZENE",-0.448677164956678,0.172031154682995,-2.60811575544827,0.00910421612869029,-0.785852032354187,-0.111502297559169
"ALDRIN",-0.076462937151851,0.029405924439961,-2.60025619354249,0.00931541862694001,-0.134097489986281,-0.0188283843174213
"X2.2.DICHLOROPROPANE",-0.49283837231706,0.18980610292928,-2.59653596333879,0.00941690471260167,-0.864851498104351,-0.120825246529769
"XYLENES..TOTAL",-0.0214957070653308,0.00845741575289361,-2.54164010536862,0.0110333716382983,-0.038071937343284,-0.0049194767873776
"DIBROMOACETIC.ACID",-0.00119776376765159,0.00047398084192019,-2.52702991707263,0.0115031703339467,-0.00212674914717714,-0.000268778388126049
"NITROGEN.AMMONIA.AS..N.",0.0224387049780562,0.00911053851905161,2.46293947730239,0.0137803175092346,0.00458237760095021,0.0402950323551623
"BARIUM",4.12364802469486e-05,1.71742111175446e-05,2.40106983457439,0.0163472164358952,7.57564499367373e-06,7.48973155002235e-05
"BENTAZON",0.0151631631903822,0.00640800193567127,2.36628567572269,0.0179675741119772,0.00260371018360358,0.0277226161971609
"SULFIDE",0.00264926923755251,0.00112439229503728,2.35617875473318,0.0184640302060918,0.000445500834785114,0.00485303764031991
"DI.2.ETHYLHEXYL..ADIPATE",0.00860081143340593,0.00380470569326895,2.26057207226881,0.0237857687653263,0.0011437253028243,0.0160578975639876
"DICAMBA",0.0102758324754328,0.00461262228649503,2.22776369648099,0.0258962769223851,0.0012352589196157,0.0193164060312498
"ALKALINITY..CARBONATE",0.000321943307773269,0.000152349050178151,2.11319537205385,0.0345840492547534,2.3344656345207e-05,0.00062054195920133
"MAGNESIUM",-1.36624322669888e-06,6.51153683219674e-07,-2.0981885872831,0.0358884893844164,-2.64248099421004e-06,-9.00054591877116e-08
"N.NITROSODI.N.BUTYLAMINE..NDBA.",-0.0180454276391561,0.00862542103293082,-2.09212136662788,0.0364276602657658,-0.0349509422151948,-0.00113991306311745
"PARA.PARA.DDE",-0.0323812504681424,0.0158848002456522,-2.03850536156446,0.0414994191091136,-0.0635148868512337,-0.00124761408505119
"FOAMING.AGENTS..SURFACTANTS.",0.00561204729974765,0.00285876190618104,1.96310412826393,0.0496340759713409,8.97692325774191e-06,0.0112151176762376
"X1.4.DIOXANE",0.00293966540406589,0.00149752912560122,1.96301050431035,0.0496449534872689,4.56225208773746e-06,0.00587476855604404
